4, 
0, 159, 39, 
 1.1687, 1.1712, 1.1704, 1.1690, 1.1666, 1.1643, 1.1623, 1.1606, 1.1593, 1.1583, 1.1575, 1.1569, 1.1564, 1.1561, 1.1558, 1.1557, 1.1556, 1.1555, 1.1556, 1.1556, 1.1557, 1.1558, 1.1559, 1.1560, 1.1561, 1.1561, 1.1562, 1.1562, 1.1562, 1.1562, 1.1561, 1.1561, 1.1560, 1.1559, 1.1557, 1.1556, 1.1555, 1.1553, 1.1553, 
 1.2104, 1.1889, 1.1800, 1.1720, 1.1669, 1.1634, 1.1610, 1.1593, 1.1581, 1.1571, 1.1564, 1.1558, 1.1554, 1.1551, 1.1549, 1.1548, 1.1547, 1.1547, 1.1548, 1.1549, 1.1550, 1.1551, 1.1553, 1.1554, 1.1555, 1.1557, 1.1558, 1.1558, 1.1559, 1.1559, 1.1559, 1.1559, 1.1558, 1.1558, 1.1557, 1.1556, 1.1556, 1.1554, 1.1554, 
 1.1720, 1.1670, 1.1663, 1.1637, 1.1615, 1.1597, 1.1583, 1.1571, 1.1562, 1.1555, 1.1549, 1.1545, 1.1542, 1.1539, 1.1538, 1.1538, 1.1538, 1.1538, 1.1539, 1.1541, 1.1542, 1.1544, 1.1546, 1.1548, 1.1550, 1.1552, 1.1553, 1.1554, 1.1555, 1.1556, 1.1556, 1.1557, 1.1557, 1.1557, 1.1557, 1.1556, 1.1556, 1.1554, 1.1554, 
 1.1617, 1.1601, 1.1609, 1.1596, 1.1582, 1.1570, 1.1559, 1.1550, 1.1543, 1.1538, 1.1533, 1.1531, 1.1528, 1.1527, 1.1527, 1.1527, 1.1528, 1.1529, 1.1531, 1.1533, 1.1535, 1.1537, 1.1539, 1.1542, 1.1544, 1.1546, 1.1548, 1.1550, 1.1552, 1.1553, 1.1554, 1.1555, 1.1555, 1.1556, 1.1556, 1.1556, 1.1557, 1.1555, 1.1555, 
 1.1543, 1.1537, 1.1552, 1.1548, 1.1542, 1.1537, 1.1532, 1.1527, 1.1523, 1.1520, 1.1517, 1.1516, 1.1515, 1.1515, 1.1516, 1.1517, 1.1518, 1.1520, 1.1522, 1.1524, 1.1527, 1.1530, 1.1533, 1.1536, 1.1538, 1.1541, 1.1544, 1.1546, 1.1548, 1.1550, 1.1552, 1.1553, 1.1554, 1.1555, 1.1556, 1.1556, 1.1557, 1.1556, 1.1556, 
 1.1480, 1.1485, 1.1506, 1.1508, 1.1507, 1.1506, 1.1504, 1.1503, 1.1501, 1.1501, 1.1500, 1.1500, 1.1501, 1.1502, 1.1503, 1.1505, 1.1508, 1.1510, 1.1513, 1.1516, 1.1519, 1.1523, 1.1526, 1.1529, 1.1532, 1.1536, 1.1539, 1.1542, 1.1544, 1.1547, 1.1549, 1.1551, 1.1553, 1.1554, 1.1556, 1.1557, 1.1558, 1.1556, 1.1557, 
 1.1428, 1.1438, 1.1461, 1.1469, 1.1472, 1.1476, 1.1478, 1.1480, 1.1481, 1.1482, 1.1484, 1.1485, 1.1487, 1.1489, 1.1492, 1.1495, 1.1498, 1.1501, 1.1504, 1.1508, 1.1512, 1.1515, 1.1519, 1.1523, 1.1527, 1.1530, 1.1534, 1.1537, 1.1541, 1.1544, 1.1547, 1.1549, 1.1551, 1.1554, 1.1555, 1.1557, 1.1558, 1.1557, 1.1558, 
 1.1383, 1.1398, 1.1422, 1.1433, 1.1441, 1.1448, 1.1453, 1.1457, 1.1461, 1.1464, 1.1467, 1.1470, 1.1473, 1.1477, 1.1480, 1.1484, 1.1488, 1.1491, 1.1495, 1.1500, 1.1504, 1.1508, 1.1512, 1.1517, 1.1521, 1.1525, 1.1529, 1.1533, 1.1537, 1.1540, 1.1544, 1.1547, 1.1550, 1.1553, 1.1555, 1.1557, 1.1558, 1.1558, 1.1559, 
 1.1345, 1.1362, 1.1387, 1.1401, 1.1411, 1.1421, 1.1429, 1.1436, 1.1441, 1.1446, 1.1451, 1.1456, 1.1460, 1.1464, 1.1469, 1.1473, 1.1478, 1.1482, 1.1487, 1.1492, 1.1496, 1.1501, 1.1506, 1.1511, 1.1515, 1.1520, 1.1524, 1.1529, 1.1533, 1.1537, 1.1541, 1.1545, 1.1549, 1.1552, 1.1555, 1.1557, 1.1559, 1.1558, 1.1559, 
 1.1311, 1.1330, 1.1356, 1.1372, 1.1385, 1.1397, 1.1407, 1.1415, 1.1423, 1.1430, 1.1436, 1.1442, 1.1447, 1.1453, 1.1458, 1.1463, 1.1468, 1.1474, 1.1479, 1.1484, 1.1489, 1.1494, 1.1500, 1.1505, 1.1510, 1.1515, 1.1520, 1.1525, 1.1530, 1.1535, 1.1539, 1.1544, 1.1548, 1.1551, 1.1554, 1.1557, 1.1559, 1.1559, 1.1560, 
 1.1281, 1.1301, 1.1328, 1.1346, 1.1361, 1.1375, 1.1386, 1.1397, 1.1406, 1.1414, 1.1422, 1.1429, 1.1435, 1.1442, 1.1448, 1.1454, 1.1460, 1.1465, 1.1471, 1.1477, 1.1482, 1.1488, 1.1494, 1.1499, 1.1505, 1.1511, 1.1516, 1.1521, 1.1527, 1.1532, 1.1537, 1.1542, 1.1546, 1.1550, 1.1554, 1.1557, 1.1559, 1.1559, 1.1561, 
 1.1254, 1.1276, 1.1304, 1.1323, 1.1339, 1.1355, 1.1368, 1.1380, 1.1390, 1.1400, 1.1409, 1.1417, 1.1424, 1.1431, 1.1438, 1.1445, 1.1451, 1.1458, 1.1464, 1.1470, 1.1476, 1.1482, 1.1488, 1.1494, 1.1500, 1.1506, 1.1512, 1.1518, 1.1524, 1.1530, 1.1535, 1.1540, 1.1545, 1.1549, 1.1553, 1.1556, 1.1559, 1.1560, 1.1561, 
 1.1231, 1.1255, 1.1282, 1.1302, 1.1320, 1.1337, 1.1352, 1.1364, 1.1376, 1.1387, 1.1397, 1.1405, 1.1414, 1.1422, 1.1429, 1.1437, 1.1444, 1.1450, 1.1457, 1.1464, 1.1470, 1.1477, 1.1483, 1.1490, 1.1496, 1.1502, 1.1509, 1.1515, 1.1521, 1.1528, 1.1533, 1.1539, 1.1544, 1.1549, 1.1553, 1.1556, 1.1559, 1.1560, 1.1561, 
 1.1211, 1.1235, 1.1263, 1.1285, 1.1304, 1.1321, 1.1337, 1.1351, 1.1364, 1.1375, 1.1386, 1.1396, 1.1405, 1.1413, 1.1421, 1.1429, 1.1437, 1.1444, 1.1451, 1.1458, 1.1465, 1.1472, 1.1479, 1.1486, 1.1492, 1.1499, 1.1506, 1.1513, 1.1519, 1.1526, 1.1532, 1.1538, 1.1543, 1.1548, 1.1552, 1.1555, 1.1558, 1.1559, 1.1561, 
 1.1194, 1.1219, 1.1247, 1.1269, 1.1289, 1.1308, 1.1325, 1.1339, 1.1353, 1.1365, 1.1376, 1.1387, 1.1397, 1.1406, 1.1414, 1.1423, 1.1431, 1.1438, 1.1446, 1.1453, 1.1460, 1.1468, 1.1475, 1.1482, 1.1489, 1.1496, 1.1503, 1.1510, 1.1517, 1.1524, 1.1530, 1.1536, 1.1542, 1.1547, 1.1551, 1.1555, 1.1558, 1.1559, 1.1561, 
 1.1179, 1.1205, 1.1234, 1.1257, 1.1277, 1.1296, 1.1314, 1.1329, 1.1343, 1.1356, 1.1368, 1.1379, 1.1390, 1.1399, 1.1408, 1.1417, 1.1425, 1.1433, 1.1441, 1.1449, 1.1456, 1.1464, 1.1471, 1.1479, 1.1486, 1.1494, 1.1501, 1.1509, 1.1516, 1.1523, 1.1529, 1.1535, 1.1541, 1.1546, 1.1551, 1.1554, 1.1557, 1.1559, 1.1560, 
 1.1168, 1.1194, 1.1223, 1.1246, 1.1267, 1.1287, 1.1305, 1.1321, 1.1336, 1.1349, 1.1362, 1.1373, 1.1384, 1.1394, 1.1403, 1.1412, 1.1421, 1.1429, 1.1437, 1.1445, 1.1453, 1.1461, 1.1469, 1.1476, 1.1484, 1.1492, 1.1500, 1.1507, 1.1515, 1.1522, 1.1528, 1.1534, 1.1540, 1.1546, 1.1550, 1.1554, 1.1557, 1.1558, 1.1559, 
 1.1158, 1.1186, 1.1214, 1.1238, 1.1259, 1.1280, 1.1298, 1.1315, 1.1330, 1.1344, 1.1356, 1.1368, 1.1379, 1.1390, 1.1399, 1.1409, 1.1417, 1.1426, 1.1434, 1.1443, 1.1451, 1.1459, 1.1467, 1.1475, 1.1483, 1.1491, 1.1498, 1.1506, 1.1514, 1.1521, 1.1527, 1.1534, 1.1540, 1.1545, 1.1549, 1.1553, 1.1556, 1.1557, 1.1559, 
 1.1152, 1.1180, 1.1208, 1.1233, 1.1254, 1.1275, 1.1293, 1.1310, 1.1325, 1.1340, 1.1353, 1.1365, 1.1376, 1.1387, 1.1397, 1.1406, 1.1415, 1.1424, 1.1432, 1.1441, 1.1449, 1.1457, 1.1465, 1.1473, 1.1482, 1.1490, 1.1498, 1.1505, 1.1513, 1.1520, 1.1527, 1.1533, 1.1539, 1.1544, 1.1549, 1.1552, 1.1555, 1.1556, 1.1558, 
 1.1148, 1.1176, 1.1205, 1.1229, 1.1250, 1.1271, 1.1290, 1.1307, 1.1322, 1.1337, 1.1350, 1.1362, 1.1374, 1.1385, 1.1395, 1.1404, 1.1413, 1.1422, 1.1431, 1.1439, 1.1448, 1.1456, 1.1465, 1.1473, 1.1481, 1.1489, 1.1497, 1.1505, 1.1512, 1.1520, 1.1526, 1.1533, 1.1539, 1.1544, 1.1548, 1.1551, 1.1554, 1.1556, 1.1557, 
 1.1147, 1.1175, 1.1204, 1.1228, 1.1250, 1.1271, 1.1289, 1.1306, 1.1322, 1.1336, 1.1350, 1.1362, 1.1373, 1.1384, 1.1394, 1.1404, 1.1413, 1.1422, 1.1431, 1.1439, 1.1448, 1.1456, 1.1464, 1.1473, 1.1481, 1.1489, 1.1497, 1.1505, 1.1512, 1.1520, 1.1526, 1.1533, 1.1538, 1.1543, 1.1547, 1.1551, 1.1553, 1.1555, 1.1556, 
 1.1145, 1.1173, 1.1202, 1.1226, 1.1247, 1.1268, 1.1287, 1.1304, 1.1320, 1.1334, 1.1348, 1.1360, 1.1372, 1.1383, 1.1393, 1.1403, 1.1412, 1.1421, 1.1430, 1.1439, 1.1447, 1.1456, 1.1464, 1.1473, 1.1481, 1.1489, 1.1497, 1.1505, 1.1512, 1.1519, 1.1526, 1.1532, 1.1538, 1.1542, 1.1546, 1.1550, 1.1552, 1.1554, 1.1555, 
 1.1149, 1.1179, 1.1204, 1.1229, 1.1250, 1.1271, 1.1290, 1.1307, 1.1322, 1.1337, 1.1350, 1.1363, 1.1374, 1.1385, 1.1395, 1.1405, 1.1414, 1.1423, 1.1432, 1.1440, 1.1449, 1.1457, 1.1466, 1.1474, 1.1482, 1.1490, 1.1498, 1.1506, 1.1513, 1.1520, 1.1526, 1.1532, 1.1537, 1.1542, 1.1545, 1.1549, 1.1551, 1.1553, 1.1554, 
 1.1155, 1.1185, 1.1209, 1.1234, 1.1255, 1.1275, 1.1294, 1.1310, 1.1326, 1.1340, 1.1354, 1.1366, 1.1377, 1.1388, 1.1398, 1.1407, 1.1416, 1.1425, 1.1434, 1.1442, 1.1451, 1.1459, 1.1468, 1.1476, 1.1484, 1.1492, 1.1499, 1.1506, 1.1513, 1.1520, 1.1526, 1.1532, 1.1537, 1.1541, 1.1545, 1.1548, 1.1550, 1.1552, 1.1553, 
 1.1164, 1.1193, 1.1217, 1.1241, 1.1262, 1.1282, 1.1300, 1.1316, 1.1331, 1.1345, 1.1358, 1.1370, 1.1381, 1.1392, 1.1401, 1.1411, 1.1420, 1.1428, 1.1437, 1.1445, 1.1453, 1.1462, 1.1470, 1.1478, 1.1486, 1.1493, 1.1501, 1.1508, 1.1514, 1.1521, 1.1527, 1.1532, 1.1537, 1.1541, 1.1544, 1.1547, 1.1549, 1.1551, 1.1551, 
 1.1175, 1.1204, 1.1226, 1.1250, 1.1271, 1.1290, 1.1308, 1.1324, 1.1339, 1.1352, 1.1364, 1.1376, 1.1387, 1.1397, 1.1406, 1.1415, 1.1424, 1.1432, 1.1440, 1.1449, 1.1457, 1.1465, 1.1473, 1.1480, 1.1488, 1.1495, 1.1502, 1.1509, 1.1516, 1.1522, 1.1527, 1.1532, 1.1536, 1.1540, 1.1543, 1.1546, 1.1548, 1.1550, 1.1550, 
 1.1188, 1.1216, 1.1239, 1.1262, 1.1282, 1.1301, 1.1317, 1.1333, 1.1347, 1.1360, 1.1372, 1.1383, 1.1393, 1.1403, 1.1412, 1.1420, 1.1429, 1.1437, 1.1445, 1.1453, 1.1461, 1.1468, 1.1476, 1.1484, 1.1491, 1.1498, 1.1504, 1.1511, 1.1517, 1.1523, 1.1528, 1.1532, 1.1536, 1.1540, 1.1543, 1.1545, 1.1547, 1.1549, 1.1549, 
 1.1204, 1.1232, 1.1253, 1.1276, 1.1295, 1.1313, 1.1329, 1.1344, 1.1357, 1.1369, 1.1381, 1.1391, 1.1401, 1.1410, 1.1418, 1.1427, 1.1435, 1.1443, 1.1450, 1.1458, 1.1465, 1.1473, 1.1480, 1.1487, 1.1494, 1.1500, 1.1507, 1.1513, 1.1519, 1.1524, 1.1528, 1.1533, 1.1536, 1.1539, 1.1542, 1.1544, 1.1546, 1.1547, 1.1548, 
 1.1222, 1.1250, 1.1270, 1.1292, 1.1310, 1.1327, 1.1342, 1.1356, 1.1369, 1.1380, 1.1391, 1.1400, 1.1409, 1.1418, 1.1426, 1.1434, 1.1442, 1.1449, 1.1456, 1.1464, 1.1471, 1.1478, 1.1484, 1.1491, 1.1497, 1.1503, 1.1509, 1.1515, 1.1520, 1.1525, 1.1529, 1.1533, 1.1536, 1.1539, 1.1541, 1.1543, 1.1545, 1.1547, 1.1547, 
 1.1244, 1.1270, 1.1290, 1.1311, 1.1328, 1.1344, 1.1358, 1.1371, 1.1382, 1.1392, 1.1402, 1.1411, 1.1419, 1.1427, 1.1435, 1.1442, 1.1449, 1.1456, 1.1463, 1.1470, 1.1476, 1.1483, 1.1489, 1.1495, 1.1501, 1.1507, 1.1512, 1.1517, 1.1522, 1.1526, 1.1530, 1.1533, 1.1536, 1.1539, 1.1541, 1.1543, 1.1544, 1.1546, 1.1546, 
 1.1268, 1.1294, 1.1312, 1.1332, 1.1347, 1.1362, 1.1375, 1.1386, 1.1396, 1.1406, 1.1414, 1.1422, 1.1430, 1.1437, 1.1444, 1.1451, 1.1457, 1.1464, 1.1470, 1.1476, 1.1482, 1.1488, 1.1494, 1.1500, 1.1505, 1.1510, 1.1515, 1.1520, 1.1524, 1.1528, 1.1531, 1.1534, 1.1537, 1.1539, 1.1541, 1.1542, 1.1543, 1.1545, 1.1545, 
 1.1296, 1.1321, 1.1337, 1.1355, 1.1369, 1.1382, 1.1393, 1.1404, 1.1412, 1.1420, 1.1428, 1.1435, 1.1442, 1.1448, 1.1454, 1.1460, 1.1466, 1.1472, 1.1478, 1.1483, 1.1489, 1.1494, 1.1499, 1.1504, 1.1509, 1.1514, 1.1518, 1.1522, 1.1526, 1.1529, 1.1532, 1.1535, 1.1537, 1.1539, 1.1540, 1.1542, 1.1542, 1.1544, 1.1544, 
 1.1328, 1.1351, 1.1365, 1.1381, 1.1393, 1.1405, 1.1414, 1.1422, 1.1430, 1.1436, 1.1443, 1.1448, 1.1454, 1.1460, 1.1465, 1.1470, 1.1475, 1.1481, 1.1486, 1.1491, 1.1496, 1.1500, 1.1505, 1.1510, 1.1514, 1.1518, 1.1522, 1.1525, 1.1528, 1.1531, 1.1533, 1.1535, 1.1537, 1.1539, 1.1540, 1.1541, 1.1542, 1.1544, 1.1544, 
 1.1364, 1.1386, 1.1397, 1.1410, 1.1420, 1.1429, 1.1436, 1.1442, 1.1448, 1.1453, 1.1458, 1.1463, 1.1467, 1.1472, 1.1476, 1.1481, 1.1485, 1.1490, 1.1494, 1.1498, 1.1503, 1.1507, 1.1511, 1.1515, 1.1519, 1.1522, 1.1525, 1.1528, 1.1530, 1.1533, 1.1535, 1.1536, 1.1538, 1.1539, 1.1540, 1.1541, 1.1541, 1.1543, 1.1543, 
 1.1405, 1.1425, 1.1431, 1.1442, 1.1449, 1.1455, 1.1460, 1.1464, 1.1468, 1.1471, 1.1474, 1.1478, 1.1481, 1.1484, 1.1488, 1.1491, 1.1495, 1.1499, 1.1502, 1.1506, 1.1510, 1.1513, 1.1517, 1.1520, 1.1523, 1.1526, 1.1528, 1.1531, 1.1533, 1.1534, 1.1536, 1.1537, 1.1538, 1.1539, 1.1540, 1.1541, 1.1541, 1.1543, 1.1543, 
 1.1452, 1.1470, 1.1471, 1.1478, 1.1481, 1.1483, 1.1485, 1.1486, 1.1487, 1.1489, 1.1490, 1.1492, 1.1495, 1.1497, 1.1500, 1.1502, 1.1505, 1.1508, 1.1511, 1.1514, 1.1517, 1.1520, 1.1523, 1.1525, 1.1528, 1.1530, 1.1532, 1.1533, 1.1535, 1.1536, 1.1537, 1.1538, 1.1539, 1.1540, 1.1540, 1.1541, 1.1541, 1.1543, 1.1542, 
 1.1506, 1.1520, 1.1513, 1.1515, 1.1513, 1.1512, 1.1511, 1.1509, 1.1508, 1.1508, 1.1508, 1.1508, 1.1509, 1.1510, 1.1511, 1.1513, 1.1515, 1.1517, 1.1520, 1.1522, 1.1525, 1.1527, 1.1529, 1.1531, 1.1532, 1.1534, 1.1535, 1.1536, 1.1537, 1.1538, 1.1539, 1.1539, 1.1540, 1.1540, 1.1541, 1.1541, 1.1541, 1.1542, 1.1542, 
 1.1570, 1.1576, 1.1561, 1.1557, 1.1549, 1.1542, 1.1537, 1.1532, 1.1528, 1.1526, 1.1524, 1.1523, 1.1522, 1.1523, 1.1523, 1.1524, 1.1525, 1.1527, 1.1528, 1.1530, 1.1532, 1.1533, 1.1535, 1.1536, 1.1537, 1.1538, 1.1538, 1.1539, 1.1539, 1.1540, 1.1540, 1.1540, 1.1541, 1.1541, 1.1541, 1.1541, 1.1541, 1.1542, 1.1542, 
 1.1639, 1.1637, 1.1607, 1.1593, 1.1581, 1.1570, 1.1561, 1.1554, 1.1548, 1.1543, 1.1540, 1.1537, 1.1536, 1.1535, 1.1534, 1.1535, 1.1535, 1.1536, 1.1537, 1.1538, 1.1539, 1.1539, 1.1540, 1.1541, 1.1541, 1.1541, 1.1542, 1.1542, 1.1542, 1.1542, 1.1542, 1.1542, 1.1541, 1.1541, 1.1541, 1.1541, 1.1541, 1.1542, 1.1542, 
 1.1721, 1.1703, 1.1658, 1.1636, 1.1615, 1.1599, 1.1585, 1.1574, 1.1566, 1.1560, 1.1555, 1.1551, 1.1548, 1.1547, 1.1545, 1.1545, 1.1545, 1.1545, 1.1545, 1.1545, 1.1545, 1.1545, 1.1545, 1.1545, 1.1545, 1.1545, 1.1545, 1.1544, 1.1544, 1.1543, 1.1543, 1.1543, 1.1542, 1.1542, 1.1542, 1.1541, 1.1541, 1.1543, 1.1542, 
 1.1597, 1.1644, 1.1650, 1.1649, 1.1636, 1.1621, 1.1605, 1.1592, 1.1582, 1.1574, 1.1568, 1.1564, 1.1560, 1.1557, 1.1556, 1.1554, 1.1554, 1.1553, 1.1553, 1.1552, 1.1552, 1.1551, 1.1551, 1.1550, 1.1549, 1.1548, 1.1548, 1.1547, 1.1546, 1.1545, 1.1544, 1.1544, 1.1543, 1.1543, 1.1542, 1.1542, 1.1541, 1.1543, 1.1542, 
 1.2089, 1.1870, 1.1754, 1.1692, 1.1657, 1.1637, 1.1621, 1.1608, 1.1597, 1.1588, 1.1581, 1.1575, 1.1571, 1.1568, 1.1565, 1.1564, 1.1562, 1.1561, 1.1560, 1.1559, 1.1558, 1.1556, 1.1555, 1.1554, 1.1553, 1.1552, 1.1550, 1.1549, 1.1548, 1.1547, 1.1546, 1.1545, 1.1544, 1.1543, 1.1543, 1.1542, 1.1542, 1.1543, 1.1542, 
 1.1809, 1.1765, 1.1741, 1.1706, 1.1672, 1.1650, 1.1632, 1.1618, 1.1607, 1.1598, 1.1591, 1.1585, 1.1580, 1.1577, 1.1574, 1.1572, 1.1570, 1.1568, 1.1566, 1.1565, 1.1563, 1.1561, 1.1560, 1.1558, 1.1557, 1.1555, 1.1553, 1.1552, 1.1550, 1.1548, 1.1547, 1.1546, 1.1545, 1.1544, 1.1543, 1.1542, 1.1542, 1.1543, 1.1542, 
 1.1748, 1.1725, 1.1718, 1.1698, 1.1677, 1.1656, 1.1639, 1.1626, 1.1615, 1.1606, 1.1599, 1.1593, 1.1588, 1.1585, 1.1582, 1.1579, 1.1576, 1.1574, 1.1572, 1.1570, 1.1568, 1.1566, 1.1564, 1.1562, 1.1560, 1.1558, 1.1556, 1.1554, 1.1552, 1.1550, 1.1548, 1.1547, 1.1546, 1.1544, 1.1544, 1.1543, 1.1542, 1.1543, 1.1543, 
 1.1711, 1.1698, 1.1698, 1.1686, 1.1671, 1.1657, 1.1642, 1.1630, 1.1621, 1.1612, 1.1605, 1.1600, 1.1595, 1.1591, 1.1588, 1.1585, 1.1582, 1.1580, 1.1577, 1.1575, 1.1572, 1.1570, 1.1568, 1.1565, 1.1563, 1.1560, 1.1558, 1.1556, 1.1553, 1.1551, 1.1550, 1.1548, 1.1546, 1.1545, 1.1544, 1.1543, 1.1543, 1.1543, 1.1543, 
 1.1686, 1.1678, 1.1682, 1.1675, 1.1664, 1.1653, 1.1643, 1.1633, 1.1624, 1.1616, 1.1611, 1.1605, 1.1601, 1.1597, 1.1594, 1.1590, 1.1587, 1.1584, 1.1582, 1.1579, 1.1576, 1.1574, 1.1571, 1.1568, 1.1565, 1.1563, 1.1560, 1.1557, 1.1555, 1.1553, 1.1551, 1.1549, 1.1547, 1.1546, 1.1545, 1.1544, 1.1543, 1.1544, 1.1543, 
 1.1668, 1.1663, 1.1669, 1.1665, 1.1657, 1.1650, 1.1641, 1.1633, 1.1626, 1.1620, 1.1614, 1.1610, 1.1605, 1.1602, 1.1598, 1.1595, 1.1592, 1.1589, 1.1586, 1.1583, 1.1580, 1.1577, 1.1574, 1.1571, 1.1568, 1.1565, 1.1562, 1.1559, 1.1556, 1.1554, 1.1552, 1.1550, 1.1548, 1.1546, 1.1545, 1.1544, 1.1543, 1.1544, 1.1543, 
 1.1655, 1.1651, 1.1659, 1.1657, 1.1651, 1.1646, 1.1639, 1.1633, 1.1627, 1.1622, 1.1617, 1.1613, 1.1609, 1.1605, 1.1602, 1.1598, 1.1595, 1.1592, 1.1589, 1.1586, 1.1582, 1.1579, 1.1576, 1.1573, 1.1570, 1.1566, 1.1563, 1.1561, 1.1558, 1.1555, 1.1553, 1.1551, 1.1549, 1.1547, 1.1546, 1.1545, 1.1544, 1.1544, 1.1544, 
 1.1645, 1.1643, 1.1651, 1.1651, 1.1646, 1.1642, 1.1637, 1.1632, 1.1627, 1.1623, 1.1619, 1.1615, 1.1611, 1.1608, 1.1605, 1.1601, 1.1598, 1.1595, 1.1591, 1.1588, 1.1585, 1.1581, 1.1578, 1.1575, 1.1571, 1.1568, 1.1565, 1.1562, 1.1559, 1.1556, 1.1554, 1.1552, 1.1550, 1.1548, 1.1546, 1.1545, 1.1544, 1.1545, 1.1544, 
 1.1637, 1.1636, 1.1644, 1.1645, 1.1642, 1.1639, 1.1636, 1.1632, 1.1627, 1.1624, 1.1620, 1.1617, 1.1613, 1.1610, 1.1607, 1.1603, 1.1600, 1.1597, 1.1593, 1.1590, 1.1587, 1.1583, 1.1580, 1.1576, 1.1573, 1.1569, 1.1566, 1.1563, 1.1560, 1.1557, 1.1555, 1.1552, 1.1550, 1.1549, 1.1547, 1.1546, 1.1545, 1.1545, 1.1544, 
 1.1631, 1.1630, 1.1639, 1.1641, 1.1639, 1.1637, 1.1634, 1.1631, 1.1627, 1.1624, 1.1621, 1.1618, 1.1615, 1.1611, 1.1608, 1.1605, 1.1602, 1.1598, 1.1595, 1.1592, 1.1588, 1.1585, 1.1581, 1.1578, 1.1574, 1.1571, 1.1567, 1.1564, 1.1561, 1.1558, 1.1556, 1.1553, 1.1551, 1.1549, 1.1548, 1.1547, 1.1546, 1.1546, 1.1545, 
 1.1627, 1.1626, 1.1635, 1.1637, 1.1636, 1.1634, 1.1632, 1.1630, 1.1627, 1.1624, 1.1621, 1.1618, 1.1615, 1.1612, 1.1609, 1.1606, 1.1603, 1.1600, 1.1596, 1.1593, 1.1589, 1.1586, 1.1582, 1.1579, 1.1575, 1.1572, 1.1568, 1.1565, 1.1562, 1.1559, 1.1557, 1.1554, 1.1552, 1.1550, 1.1549, 1.1547, 1.1546, 1.1547, 1.1546, 
 1.1623, 1.1623, 1.1632, 1.1634, 1.1633, 1.1633, 1.1631, 1.1629, 1.1627, 1.1624, 1.1621, 1.1619, 1.1616, 1.1613, 1.1610, 1.1607, 1.1604, 1.1601, 1.1597, 1.1594, 1.1590, 1.1587, 1.1583, 1.1579, 1.1576, 1.1573, 1.1569, 1.1566, 1.1563, 1.1560, 1.1558, 1.1555, 1.1553, 1.1551, 1.1550, 1.1548, 1.1547, 1.1547, 1.1547, 
 1.1620, 1.1620, 1.1629, 1.1632, 1.1631, 1.1631, 1.1630, 1.1628, 1.1626, 1.1624, 1.1622, 1.1619, 1.1616, 1.1613, 1.1610, 1.1607, 1.1604, 1.1601, 1.1598, 1.1594, 1.1591, 1.1587, 1.1584, 1.1580, 1.1577, 1.1573, 1.1570, 1.1567, 1.1564, 1.1561, 1.1559, 1.1556, 1.1554, 1.1552, 1.1551, 1.1549, 1.1548, 1.1548, 1.1548, 
 1.1618, 1.1618, 1.1627, 1.1630, 1.1629, 1.1630, 1.1629, 1.1628, 1.1626, 1.1624, 1.1622, 1.1619, 1.1616, 1.1614, 1.1611, 1.1608, 1.1605, 1.1601, 1.1598, 1.1594, 1.1591, 1.1588, 1.1584, 1.1581, 1.1577, 1.1574, 1.1571, 1.1568, 1.1565, 1.1562, 1.1559, 1.1557, 1.1555, 1.1553, 1.1552, 1.1551, 1.1550, 1.1549, 1.1549, 
 1.1617, 1.1617, 1.1626, 1.1628, 1.1628, 1.1629, 1.1628, 1.1627, 1.1626, 1.1624, 1.1622, 1.1619, 1.1616, 1.1614, 1.1611, 1.1607, 1.1605, 1.1601, 1.1598, 1.1594, 1.1591, 1.1588, 1.1584, 1.1581, 1.1578, 1.1574, 1.1571, 1.1568, 1.1565, 1.1563, 1.1560, 1.1558, 1.1556, 1.1554, 1.1553, 1.1552, 1.1551, 1.1551, 1.1550, 
 1.1616, 1.1616, 1.1625, 1.1627, 1.1627, 1.1628, 1.1628, 1.1627, 1.1625, 1.1624, 1.1622, 1.1619, 1.1616, 1.1614, 1.1611, 1.1607, 1.1604, 1.1601, 1.1598, 1.1594, 1.1591, 1.1588, 1.1584, 1.1581, 1.1578, 1.1575, 1.1572, 1.1569, 1.1566, 1.1563, 1.1561, 1.1559, 1.1557, 1.1555, 1.1554, 1.1553, 1.1552, 1.1552, 1.1551, 
 1.1615, 1.1615, 1.1624, 1.1627, 1.1627, 1.1628, 1.1627, 1.1626, 1.1625, 1.1623, 1.1621, 1.1619, 1.1616, 1.1613, 1.1610, 1.1607, 1.1604, 1.1601, 1.1597, 1.1594, 1.1591, 1.1587, 1.1584, 1.1581, 1.1578, 1.1575, 1.1572, 1.1569, 1.1567, 1.1564, 1.1562, 1.1560, 1.1558, 1.1556, 1.1555, 1.1554, 1.1553, 1.1553, 1.1552, 
 1.1615, 1.1615, 1.1624, 1.1626, 1.1626, 1.1627, 1.1627, 1.1626, 1.1625, 1.1623, 1.1621, 1.1619, 1.1616, 1.1613, 1.1610, 1.1607, 1.1604, 1.1600, 1.1597, 1.1594, 1.1590, 1.1587, 1.1584, 1.1581, 1.1578, 1.1575, 1.1572, 1.1570, 1.1567, 1.1565, 1.1563, 1.1561, 1.1559, 1.1558, 1.1556, 1.1555, 1.1554, 1.1554, 1.1554, 
